Create 1
CreateKeyPair 2
Register 3
Rekey 4
DeriveKey 5
Certify 6
Recertify 7
Locate 8
Check 9
Get A
GetAttributes B
GetAttributeList C
AddAttribute D
ModifyAttribute E
DeleteAttribute F
ObtainLease 10
GetUsageAllocation 11
Activate 12
Revoke 13
Destroy 14
Archive 15
Recover 16
Validate 17
Query 18
Cancel 19
Poll 1A
Notify 1B
Put 1C
RekeyKeyPair 1D
DiscoverVersions 1E
Encrypt 1F
Decrypt 20
Sign 21
SignatureVerify 22
MAC 23
MACVerify 24
RNGRetrieve 25
RNGSeed 26
Hash 27
CreateSplitKey 28
JoinSplitKey 29
---END---
